huruf,skeleton_points,control_points,compression_percent,tsp_distance,curve_length,rmse,mae,max_error,smoothness
1,27,5,81.48148148148148,30.142135623730958,24.677922294659247,1.320959065980104,1.0184015019949686,2.548693971803192,0.02228158292176423
2,45,9,80.0,49.21320343559641,40.38618590831045,1.3603967577587117,1.0294565453569995,3.2055706792077343,0.011537457775876342
3,68,18,73.52941176470588,73.28427124746187,65.19900055820416,0.5798134218215389,0.43993377681924467,1.3777966560108676,0.0066101415405815265
4,60,14,76.66666666666667,63.21320343559641,51.16066010781734,1.2084847919080481,0.8874654207805774,3.229942357270819,0.01280168607438204
5,57,14,75.43859649122807,64.10612566258857,50.590207024577516,0.9725428346360576,0.705727633329075,2.6901770674409486,0.02443543646734685
6,49,9,81.63265306122449,50.48528137423857,48.16329986877142,0.42886060171223606,0.31350999689869796,1.04868079136111,0.002767768033369464
7,132,25,81.06060606060606,148.0538238691624,131.0811276002035,1.0071520526865867,0.6125683479891055,3.6499645061427692,0.012320110416043549
8,30,9,70.0,32.55634918610406,30.055414202737772,0.5288040335485387,0.43526300774370213,1.0941099553381066,0.011122473029446224
